"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType","weekNumber","Avg.Pace"
"82",767952709,"10k Tune Up Run","ASICS dunno Black, Yellow, Red",2016-11-05,"Nov",11,"Sat","10:19",9.01,2017-03-29 01:02:08,3.8885,187.6,143,150,189,927,"Workout",16,2017-03-29 00:06:54
"84",767953656,"Long Run","Hoka One One Clifton Reds",2016-11-06,"Nov",11,"Sun","10:01",17.01,2017-03-29 01:59:07,3.8296,150.6,618,149,199,1607,"Long Run",16,2017-03-29 00:07:00
"111",769129792,"Recovery Run","Brooks Ghost Red/Black",2016-11-07,"Nov",11,"Mon","16:56",4.01,2017-03-29 00:30:41,3.06,176.4,NA,122,139,319,"Recovery Run",17,2017-03-29 00:07:40
"89",770096239,"GA Run","Brooks Ghost Red/Black",2016-11-08,"Nov",11,"Tue","16:48",7,2017-03-29 00:52:18,3.5924,169.4,307,140,154,742,"Run",17,2017-03-29 00:07:28
"92",770952070,"Recovery Run","Brooks Ghost Red/Black",2016-11-09,"Nov",11,"Wed","16:32",6.01,2017-03-29 00:45:30,3.5395,175.4,241,135,160,653,"Recovery Run",17,2017-03-29 00:07:35
"112",772172120,"Recovery Run","Hoka One One Clifton Reds",2016-11-10,"Nov",11,"Thu","17:15",5,2017-03-29 00:37:11,2.7808,176.8,NA,121,138,376,"Recovery Run",17,2017-03-29 00:07:26
"77",772172603,"VO2 Run","Hoka One One Clifton Reds",2016-11-11,"Nov",11,"Fri","5:55",8.01,2017-03-29 00:57:19,3.7486,186.4,280,148,167,852,"Workout",17,2017-03-29 00:07:09
"80",773462012,"GA Run","Saucony Fastwitch Reds",2016-11-12,"Nov",11,"Sat","12:47",7,2017-03-29 00:49:54,3.7643,185,254,144,154,736,"Run",17,2017-03-29 00:07:08
"83",774553806,"ML Run","Brooks Ghost Red/Black",2016-11-13,"Nov",11,"Sun","10:42",12,2017-03-29 01:24:46,3.798,187.2,467,145,158,1246,"Run",17,2017-03-29 00:07:04
"110",775641778,"Recovery Run","Brooks Ghost Red/Black",2016-11-14,"Nov",11,"Mon","17:11",2.06,2017-03-29 00:16:19,3.1705,171.2,NA,70,118,64,"Recovery Run",18,2017-03-29 00:07:55
"88",776017804,"GA Run","Saucony Fastwitch Reds",2016-11-15,"Nov",11,"Tue","5:55",8,2017-03-29 00:58:14,3.6864,187,334,145,162,853,"Run",18,2017-03-29 00:07:17
"90",777267101,"Recovery Run","Hoka One One Clifton Reds",2016-11-16,"Nov",11,"Wed","12:07",5.01,2017-03-29 00:38:49,3.4613,180.4,140,135,164,536,"Recovery Run",18,2017-03-29 00:07:45
"85",777917114,"GA Run","Hoka One One Clifton Reds",2016-11-17,"Nov",11,"Thu","6:01",7,2017-03-29 00:50:42,3.7048,185.6,276,145,195,762,"Run",18,2017-03-29 00:07:14
"78",779226144,"Recovery Run","Hoka One One Clifton Reds",2016-11-18,"Nov",11,"Fri","17:22",5,2017-03-29 00:42:10,3.182,174.6,238,133,148,554,"Recovery Run",18,2017-03-29 00:08:26
"81",780934297,"Recovery Run","Hoka One One Clifton Reds",2016-11-19,"Nov",11,"Sat","16:48",3,2017-03-29 00:25:16,3.1894,175.2,145,124,144,329,"Recovery Run",18,2017-03-29 00:08:25
"122",780935487,"Oh My God So Freakin Windy Philly Marathon","Saucony Fastwitch Reds",2016-11-20,"Nov",11,"Sun","7:00",26.27,2017-03-29 03:07:15,3.8383,186.2,529,151,200,2113,"Race",19,2017-03-29 00:07:08
