Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,8/18/2016 5:34,FALSE,Chalfont Running,5.01,525,40:03:00,135,148,0,176,193,8:00,5:21,200,176,1.14,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/17/2016 5:19,FALSE,Chalfont Running,14.01,"1,419",1:47:20,145,157,0,173,211,7:40,5:36,551,527,1.21,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/16/2016 6:00,FALSE,Chalfont Running,10.01,"1,024",1:11:55,143,166,0,156,202,7:11,2:56,366,367,1.44,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/15/2016 18:10,FALSE,Running,4,380,31:14:00,128,149,0,173,197,7:48,6:28,--,--,1.19,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/12/2016 18:12,FALSE,Sea Isle City Running,1.42,191,11:33,--,--,0,169,181,8:07,6:59,--,--,1.17,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/12/2016 8:47,FALSE,Sea Isle City Running,10.01,"1,047",1:19:25,149,170,0,174,211,7:56,5:14,3,3,1.16,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/11/2016 9:05,FALSE,Sea Isle City Running,10,"1,085",1:18:54,148,166,0,173,197,7:53,5:58,7,7,1.18,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/10/2016 9:41,FALSE,Sea Isle City Running,3,299,23:31,134,151,0,171,182,7:50,6:13,--,--,1.2,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/8/2016 7:31,FALSE,Sea Isle City Running,15,"1,545",1:57:31,142,158,0,168,194,7:50,6:12,13,15,1.23,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/7/2016 14:50,FALSE,Sea Isle City Running,4.01,460,30:04:00,149,160,0,175,189,7:30,5:11,4,--,1.22,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
running,8/6/2016 6:18,FALSE,Ocean City Running,8,898,1:02:54,149,158,0,174,197,7:52,6:02,--,--,1.17,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0:00,0,--,0:00,--,--,--,No,--
