"","ID","Name","Gear","Date","Month","monthNum","DOW","StartTime","Distance","Time","Avg.Speed.Avg.Pace.","Speed.mph","Cad","Elevation.Gain","Avg.HR","Max.HR","Calories","RunType"
"77",772172603,"VO2 Run","Hoka One One Clifton Reds",2016-11-11,"Nov","Nov","Fri","5:55",8.01,"57:19:00","7:09",3.7486,93.2,"280","148","167","852","Workout"
"80",773462012,"GA Run","Saucony Fastwitch Reds",2016-11-12,"Nov","Nov","Sat","12:47",7,"49:54:00","7:08",3.7643,92.5,"254","144","154","736","Run"
"83",774553806,"ML Run","Brooks Ghost Red/Black",2016-11-13,"Nov","Nov","Sun","10:42",12,"1:24:46","7:04",3.798,93.6,"467","145","158","1,246","Run"
"110",775641778,"Recovery Run","Brooks Ghost Red/Black",2016-11-14,"Nov","Nov","Mon","17:11",2.06,"16:19","7:55",3.1705,85.6,"--","70","118","64","Recovery Run"
"88",776017804,"GA Run","Saucony Fastwitch Reds",2016-11-15,"Nov","Nov","Tue","5:55",8,"58:14:00","7:17",3.6864,93.5,"334","145","162","853","Run"
"90",777267101,"Recovery Run","Hoka One One Clifton Reds",2016-11-16,"Nov","Nov","Wed","12:07",5.01,"38:49:00","7:45",3.4613,90.2,"140","135","164","536","Recovery Run"
"85",777917114,"GA Run","Hoka One One Clifton Reds",2016-11-17,"Nov","Nov","Thu","6:01",7,"50:42:00","7:14",3.7048,92.8,"276","145","195","762","Run"
"78",779226144,"Recovery Run","Hoka One One Clifton Reds",2016-11-18,"Nov","Nov","Fri","17:22",5,"42:10:00","8:26",3.182,87.3,"238","133","148","554","Recovery Run"
"81",780934297,"Recovery Run","Hoka One One Clifton Reds",2016-11-19,"Nov","Nov","Sat","16:48",3,"25:16:00","8:25",3.1894,87.6,"145","124","144","329","Recovery Run"
"122",780935487,"Oh My God So Freakin Windy Philly Marathon","Saucony Fastwitch Reds",2016-11-20,"Nov","Nov","Sun","7:00",26.27,"3:07:15","7:08",3.8383,93.1,"529","151","200","2,113","Race"
