"","Name","Marathon","Date","Month","Week","Day","Weekday","RunCat","RunType","WorkoutType","StartTime","Time","Distance","Avg.HR","Max.HR","Avg.Cadence","Max.Cadence","Avg.Pace","Best.Pace","Elev.Gain","Elev.Loss","Avg.Stride.Length"
"81","Recovery Run","ph16",2016-10-17,"Oct",14,17,"Monday","Recovery","Recovery","NA",2017-12-30 17:49:00,2017-12-30 00:07:42,1,117,127,172,189,2017-12-30 00:07:41,2017-12-30 00:06:42,NA,NA,1.21
"82","GA Run","ph16",2016-10-18,"Oct",14,18,"Tuesday","GA","Run","NA",2017-12-30 05:31:00,2017-12-30 01:15:52,10,141,152,185,200,2017-12-30 00:07:35,2017-12-30 00:04:52,410,380,1.15
"83","VO2 Run","ph16",2016-10-19,"Oct",14,19,"Wednesday","Workout","Workout","vO2 Max",2017-12-30 05:40:00,2017-12-30 01:20:58,11.01,145,167,173,223,2017-12-30 00:07:21,2017-12-30 00:05:06,299,302,1.27
"84","Recovery Run","ph16",2016-10-20,"Oct",14,20,"Thursday","Recovery","Recovery","NA",2017-12-30 16:53:00,2017-12-30 00:46:51,6.01,135,151,178,195,2017-12-30 00:07:48,2017-12-30 00:05:59,238,188,1.16
"85","Recovery Run","ph16",2016-10-21,"Oct",15,21,"Friday","Recovery","Recovery","NA",2017-12-30 16:59:00,2017-12-30 00:56:00,7,135,146,181,200,2017-12-30 00:08:00,2017-12-30 00:06:01,357,343,1.11
"86","MP Long Run","ph16",2016-10-22,"Oct",15,22,"Saturday","Workout","Long","Marathon Pace",2017-12-30 08:55:00,2017-12-30 02:20:43,20,143,157,134,205,2017-12-30 00:07:02,2017-12-30 00:05:00,705,651,1.7
"87","GA Run","ph16",2016-10-24,"Oct",15,24,"Monday","GA","Run","NA",2017-12-30 06:12:00,2017-12-30 00:45:01,6.01,139,150,174,202,2017-12-30 00:07:30,2017-12-30 00:06:28,251,222,1.24
"88","VO2 Run","ph16",2016-10-25,"Oct",15,25,"Tuesday","Workout","Workout","vO2 Max",2017-12-30 05:36:00,2017-12-30 01:26:25,12,137,163,167,214,2017-12-30 00:07:12,2017-12-30 00:04:47,337,321,1.34
"89","ML Run","ph16",2016-10-26,"Oct",15,26,"Wednesday","ML","Long","NA",2017-12-30 05:15:00,2017-12-30 01:51:29,15.01,140,154,168,202,2017-12-30 00:07:26,2017-12-30 00:05:55,521,501,1.29
"90","Recovery Run","ph16",2016-10-27,"Oct",15,27,"Thursday","Recovery","Recovery","NA",2017-12-30 17:08:00,2017-12-30 00:40:41,5,116,142,174,195,2017-12-30 00:08:08,2017-12-30 00:06:41,NA,NA,1.14
